Temperature,CH4_0,CO2_0,H2O_0,O2_0,conv_CH4,conv_CO2,conv_H2O,H2/CO
200,0.2,0.2,0.2,0.0,68.36833323639172,67.6271924105582,-135.25343387022602,1561.5999537786056
250,0.2,0.2,0.2,0.0,64.89969093365225,62.85636649234622,-125.7041855225658,479.11670334557436
300,0.2,0.2,0.2,0.0,62.624716128187664,57.973645551725724,-115.89787909809097,189.25676806915934
350,0.2,0.2,0.2,0.0,61.920755636826875,52.82250137829161,-105.44501349546928,91.98742956091748
400,0.2,0.2,0.2,0.0,62.86896661397714,47.13641534273423,-93.54110415852273,44.001177903610376
450,0.2,0.2,0.2,0.0,65.35603781938926,41.01511000461912,-79.79885081606223,22.817033139099667
500,0.2,0.2,0.2,0.0,69.04389872653348,35.04321305103433,-64.21491853158788,12.581586251422248
550,0.2,0.2,0.2,0.0,73.14743920288915,30.01280946350669,-46.41139216697953,7.336699175019007
600,0.2,0.2,0.2,0.0,77.37518338898515,27.713638377867415,-27.396800548867255,4.543396454959313
650,0.2,0.2,0.2,0.0,81.19144989658261,29.5564495974238,-7.6352949678792355,3.0061151281296064
700,0.2,0.2,0.2,0.0,84.51277080431946,36.31063849439131,12.125848410206114,2.137552031262413
750,0.2,0.2,0.2,0.0,87.21414592502413,47.25455487346274,31.096687778209382,1.6362698519184995
800,0.2,0.2,0.2,0.0,92.35910193912119,55.91013477937899,36.44896716694669,1.4916592002104878
850,0.2,0.2,0.2,0.0,96.14535599016304,60.95176346564859,35.1935925252892,1.448048858575017
900,0.2,0.2,0.2,0.0,97.92212467989155,64.60661249742667,33.31551218325812,1.40996457327586
950,0.2,0.2,0.2,0.0,98.7899065308574,67.49764000828122,31.29226652308678,1.3763633197528513
1000,0.2,0.2,0.2,0.0,99.22572596382538,69.89664554970322,29.329080414974225,1.3468385663605826
200,0.2,0.2,0.2,0.2,90.20251537495663,-10.297075525268236,-179.4041533179693,590.6806772355098
250,0.2,0.2,0.2,0.2,87.48802282819724,-13.990611093105162,-172.00736924876702,260.22599423565896
300,0.2,0.2,0.2,0.2,85.14798871565314,-18.38548541031562,-163.14263478990904,82.79878051491734
350,0.2,0.2,0.2,0.2,83.521215513356,-23.645865678786805,-152.36738662563673,43.05021584704319
400,0.2,0.2,0.2,0.2,82.78023773013523,-29.88355034623724,-139.0346835132634,22.1377418641538
450,0.2,0.2,0.2,0.2,82.99342725491181,-36.810246482619824,-122.8846684078713,12.333097664996199
500,0.2,0.2,0.2,0.2,84.09131786010744,-43.44072690717765,-104.09456642000701,7.1019739589909765
550,0.2,0.2,0.2,0.2,85.70493611020925,-48.23683065880468,-83.15979493379577,4.333090508716897
600,0.2,0.2,0.2,0.2,88.40179638438525,-48.36203406390931,-63.236169551735856,2.836366068014767
650,0.2,0.2,0.2,0.2,95.15400639586625,-40.489624778091674,-64.35636882611456,2.304089797381352
700,0.2,0.2,0.2,0.2,98.31240722323909,-33.06137408065007,-68.6262186963396,1.9616332429645644
750,0.2,0.2,0.2,0.2,99.4238884423984,-26.686552095553314,-73.88955946238073,1.7179377703249428
800,0.2,0.2,0.2,0.2,99.75577884457849,-21.110136597206743,-79.13408456099727,1.5306311925084104
850,0.2,0.2,0.2,0.2,99.90803381489125,-16.09519098429185,-83.99677520519418,1.3818800146922028
900,0.2,0.2,0.2,0.2,99.95439680286397,-11.639710074676303,-88.40589312260477,1.26256350574717
950,0.2,0.2,0.2,0.2,99.97051997387793,-7.654569240937478,-92.37491078782477,1.1651954870927395
1000,0.2,0.2,0.2,0.2,99.98311695523132,-3.955634152787782,-96.06124889470865,1.082033830509942
200,0.2,0.2,0.2,0.4,99.99999999304968,-99.99999998284511,-199.99999998546687,0.3490837776552062
250,0.2,0.2,0.2,0.4,99.99999980569254,-99.99999954736612,-199.99999960147014,0.453046129495381
300,0.2,0.2,0.2,0.4,99.99996187988079,-100.00000753483806,-199.9999923615426,0.9997122940848338
350,0.2,0.2,0.2,0.4,99.99996191431912,-100.00000760695303,-199.99999239591506,0.9994356860129116
400,0.2,0.2,0.2,0.4,99.99996190644242,-100.00000759810683,-199.99999239139314,0.9994313565836312
450,0.2,0.2,0.2,0.4,99.99996189348774,-100.00000758106694,-199.99999238205604,0.999454284346344
500,0.2,0.2,0.2,0.4,99.99996190219245,-100.00000759000693,-199.9999923865575,0.9994521300664704
550,0.2,0.2,0.2,0.4,99.99996191048488,-100.00000757236089,-199.99999237614617,0.9996924234754235
600,0.2,0.2,0.2,0.4,99.99996189754458,-100.00000757172373,-199.99999237513126,0.9995713914105374
650,0.2,0.2,0.2,0.4,99.99996190034305,-100.00000760185894,-199.99999239300814,0.9992972689396886
700,0.2,0.2,0.2,0.4,99.99996188475241,-100.00000756509856,-199.99998194552356,1.2713193092485287
750,0.2,0.2,0.2,0.4,99.99999968208044,-99.99990709947512,-199.9998980423642,1.1026952836762125
800,0.2,0.2,0.2,0.4,99.9999999998886,-99.99990626794735,-199.99965094172953,3.7042691859421444
850,0.2,0.2,0.2,0.4,99.99999990167883,-99.99951711671048,-199.999330888461,1.386465299148743
900,0.2,0.2,0.2,0.4,99.99999999973791,-99.9990213592555,-199.99879777683535,1.2285960527995223
950,0.2,0.2,0.2,0.4,99.9999999998741,-99.99785192288665,-199.99798488527878,0.9379445918871223
1000,0.2,0.2,0.2,0.4,99.99999999045296,-99.9956836206031,-199.9964825126709,0.8150341192318304
